2023-03-07 22:57:44.926 +01:00 [INF] Beginnig to create parsing structure matching...
2023-03-07 22:57:45.109 +01:00 [INF] Read all structure defining ontology graphs.
2023-03-07 22:57:45.110 +01:00 [INF] Merging all input graphs...
2023-03-07 22:57:45.140 +01:00 [INF] Creating owl inheritance tree from merged graphs...
2023-03-07 22:57:46.138 +01:00 [INF] Dynamically created owl class tree
2023-03-07 22:57:46.138 +01:00 [INF] Creating c# class inheritance tree from classes known to the assembly...
2023-03-07 22:57:46.205 +01:00 [INF] Dynamically created c# class tree
2023-03-07 22:57:46.220 +01:00 [INF] ##########################################
2023-03-07 22:57:46.220 +01:00 [INF] Created parsing structure for owl classes.
2023-03-07 22:57:46.222 +01:00 [INF] 93 classes could be mapped correctly
2023-03-07 22:57:46.222 +01:00 [INF] 43 were not mapped correctly
2023-03-07 22:57:46.222 +01:00 [INF] ##########################################
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map SubjectGroup correctly, mapped with Subject instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map BiDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map UniDirectionalCommunicationChannel correctly, mapped with CommunicationChannel instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map AbstractLayer correctly, mapped with ModelLayer instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map BaseLayer correctly, mapped with ModelLayer instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map ExtensionLayer correctly, mapped with ModelLayer instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map GuardLayer correctly, mapped with ModelLayer instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map MacroLayer correctly, mapped with ModelLayer instead
2023-03-07 22:57:46.232 +01:00 [WRN] Could not map Simple2DVisualistionPathPoint correctly, mapped with Simple2DVisualizationPoint instead
2023-03-07 22:57:46.232 +01:00 [INF] Finished class mapping
2023-03-07 22:57:46.237 +01:00 [INF] Done reading the new File: C:\Data\SingleMacroSubject.owl
